*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.014 -Release      JAN 29, 2013; 15:02:32
                                                                                
*RUN   1        : Irrigated + Nitrogen      WHAPS045 UFMX8902    3              
 MODEL          : WHAPS045 - Wheat                                              
 EXPERIMENT     : UFMX8902 WH  Mexi (NWheat migration to DSSAT)                 
 DATA PATH      : C:\DSSAT45\WHEAT\                                             
 TREATMENT  3   : Irrigated + Nitrogen      WHAPS045                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-25   25-40   40-55   55-70   70-90  90-120 120-150
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D    ES6D    ES7D    ES8D    ES9D    TRWU
 1990 055    76  21.10  29.20   7.20  4.421  4.217  0.187  3.578  3.497  0.081  0.000  0.000  219.02  202.82  179.13   19.89    0.00    3.80   0.066   0.010   0.003   0.001   0.000   0.000   0.000   0.001   0.001   0.350
 1990 056    77  19.60  28.60   9.60  4.156  3.959  0.182  2.934  2.855  0.079  0.000  0.000  223.18  205.76  181.99   19.97    0.00    3.80   0.064   0.010   0.003   0.001   0.000   0.000   0.000   0.001   0.001   0.285
 1990 057    78  18.90  27.20   9.60  3.939  3.745  0.180  0.091  0.013  0.078  0.000  0.000  227.12  205.85  182.00   20.05    0.00    3.80   0.063   0.010   0.003   0.001   0.000   0.000   0.000   0.001   0.001   0.001
 1990 058    79  18.00  27.00  11.00  3.784  3.592  0.179  0.099  0.021  0.078  0.000  0.000  230.90  205.95  182.02   20.13    0.00    3.80   0.062   0.010   0.003   0.001   0.000   0.000   0.000   0.001   0.001   0.002
 1990 059    80  18.30  28.00  11.40  3.906  3.700  0.191  0.104  0.021  0.083  0.000  0.000  234.81  206.05  182.04   20.21    0.00    3.80   0.066   0.011   0.003   0.001   0.000   0.000   0.000   0.001   0.001   0.002
 1990 060    81  24.10  27.40   7.60  4.950  4.680  0.252  0.131  0.021  0.110  0.000  0.000  239.76  206.18  182.06   20.32    0.00    3.80   0.087   0.015   0.004   0.001   0.000   0.000   0.000   0.001   0.001   0.002
 1990 061    82  24.90  28.60   7.60  5.191  4.907  0.264  0.136  0.021  0.115  0.000  0.000  244.95  206.32  182.08   20.44    0.00    3.80   0.090   0.016   0.005   0.001   0.000   0.000   0.000   0.002   0.001   0.002
 1990 062    83  24.60  30.20   9.60  5.310  5.005  0.286  0.146  0.021  0.125  0.000  0.000  250.26  206.47  182.10   20.56    0.00    3.80   0.097   0.018   0.005   0.001   0.001   0.000   0.000   0.002   0.001   0.002
 1990 063    84  22.10  28.00  11.40  4.712  4.427  0.268  0.139  0.021  0.118  0.000  0.000  254.97  206.60  182.13   20.68    0.00    3.80   0.090   0.017   0.005   0.001   0.000   0.000   0.000   0.002   0.001   0.002
 1990 064    85  19.10  25.00  12.60  3.964  3.709  0.239  0.126  0.021  0.105  0.000  0.000  258.94  206.73  182.15   20.78    0.00    3.80   0.079   0.016   0.005   0.001   0.000   0.000   0.000   0.002   0.001   0.002
 1990 065    86  19.70  24.80  11.60  4.044  3.768  0.259  0.135  0.021  0.114  0.000  0.000  262.98  206.87  182.17   20.90    0.00    3.80   0.085   0.018   0.005   0.001   0.001   0.000   0.000   0.002   0.001   0.002
 1990 066    87  23.80  27.20   8.00  4.883  4.532  0.331  0.167  0.021  0.145  0.000  0.000  267.86  207.03  182.19   21.04    0.00    3.80   0.107   0.024   0.007   0.002   0.001   0.000   0.001   0.002   0.001   0.002
 1990 067    88  25.00  27.40   6.20  5.063  4.680  0.361  0.180  0.021  0.159  0.000  0.000  272.93  207.21  182.21   21.20    0.00    3.80   0.115   0.028   0.008   0.002   0.001   0.000   0.001   0.003   0.002   0.002
 1990 068    89  22.10  25.20   8.60  4.440  4.088  0.333  0.168  0.021  0.146  0.000  0.000  277.37  207.38  182.23   21.35    0.00    3.80   0.104   0.027   0.008   0.002   0.001   0.000   0.001   0.003   0.002   0.002
 1990 069    90  16.10  23.00  14.20  3.296  3.023  0.259  0.135  0.021  0.114  0.000  0.000  280.66  207.52  182.25   21.46    0.00    3.80   0.079   0.022   0.007   0.001   0.001   0.000   0.001   0.002   0.001   0.002
 1990 070    91  21.40  23.00   7.40  4.133  3.774  0.340  0.171  0.022  0.149  0.000  0.000  284.79  207.69  182.27   21.61    0.00    3.80   0.101   0.030   0.009   0.002   0.001   0.001   0.001   0.003   0.002   0.002
 1990 071    92  24.40  25.60   5.40  4.788  4.352  0.414  0.162  0.022  0.140  0.000  0.000  289.58  207.85  182.30   21.75    0.00    3.80   0.092   0.030   0.009   0.002   0.001   0.001   0.001   0.003   0.002   0.002
 1990 072    93  21.40  23.20   7.60  4.147  3.755  0.373  0.154  0.022  0.132  0.000  0.000  293.73  208.00  182.32   21.88    0.00    3.80   0.084   0.030   0.009   0.002   0.001   0.001   0.001   0.003   0.002   0.002
 1990 073    94  23.80  22.80   3.60  4.427  4.006  0.399  0.147  0.023  0.124  0.000  0.000  298.16  208.15  182.34   22.01    0.00    3.80   0.076   0.030   0.009   0.002   0.001   0.001   0.001   0.003   0.002   0.002
